銀行名稱,銀行代碼,卡片名稱,卡片類型,回饋亮點1,回饋亮點2,回饋亮點3,申辦連結,資料來源,更新時間
台北富邦銀行,fubon,富邦財神系列卡,一般,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,富邦鈦金卡,一般,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,富邦銀行卡,一般,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,富邦鑽保卡,一般,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,尊御卡,一般,,,,https://www.fubon.com/banking/personal/credit_card/all_card/imperial/imperial.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,廣三SOGO聯名卡,聯名卡,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,悍將勇士簽帳金融卡,一般,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,悍將勇士聯名卡,聯名卡,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,悍將簽帳金融卡,一般,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,政府採購卡,一般,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,法鼓山自在卡,一般,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,福華聯名卡,聯名卡,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,適用信用卡,一般,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,適用信用卡 | 簽帳金融卡,一般,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,采盟聯名卡,聯名卡,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,金融卡,一般,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,麗嬰房聯名卡,聯名卡,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台新銀行,taishin,Gogoro Rewards 聯名卡,聯名卡,,,,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg042/card001/,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/,2026-05-30
台新銀行,taishin,卓富無限卡,高階卡,,,,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg045/card001/,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/,2026-05-30
台新銀行,taishin,台新Richart卡,一般,,,,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg047/card001/,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/,2026-05-30
台新銀行,taishin,台新雙幣卡,一般,,,,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg039/card001/,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/,2026-05-30
台新銀行,taishin,國泰航空翱翔鈦金卡/鈦金卡,一般,,,,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg003/card001/,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/,2026-05-30
台新銀行,taishin,外籍人士辦卡,一般,,,,https://www.taishinbank.com.tw/TSB/personal/credit/-00001/foreigner-card/,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/,2026-05-30
台新銀行,taishin,大全聯信用卡,一般,,,,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg010/card001/,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/,2026-05-30
台新銀行,taishin,太陽卡,一般,,,,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg012/card0001/,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/,2026-05-30
台新銀行,taishin,新光三越御璽/鈦金/白金卡,高階卡,,,,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg008/card001/,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/,2026-05-30
台新銀行,taishin,新光三越無限/世界卡,高階卡,,,,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg014/card0001/,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/,2026-05-30
台新銀行,taishin,昇恆昌御璽/白金/普卡,高階卡,,,,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg009/card001/,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/,2026-05-30
台新銀行,taishin,晶片金融卡,一般,,,,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/,2026-05-30
台新銀行,taishin,更大 更全 大全聯信用卡,一般,,,,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/,2026-05-30
台新銀行,taishin,燦坤聯名卡,聯名卡,,,,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg023/card002/,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/,2026-05-30
台新銀行,taishin,玫瑰卡,一般,,,,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg013/card0001/,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/,2026-05-30
台新銀行,taishin,現金卡,一般,,,,https://www.taishinbank.com.tw/TSB/personal/loan/stock-fund/card/story-cash-card-product-features/,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/,2026-05-30
台新銀行,taishin,申辦信用卡,一般,,,,https://www.taishinbank.com.tw/TSB/personal/digital/online-application/online-credit-card/,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/,2026-05-30
台新銀行,taishin,股票/基金質借貸款/現金卡,一般,,,,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/,2026-05-30
台新銀行,taishin,街口聯名卡,聯名卡,,,,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg038/card001/,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/,2026-05-30
台新銀行,taishin,遠傳friDay聯名卡,聯名卡,,,,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg019/card001/,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/,2026-05-30
國泰世華銀行,cathaybk,CUBE 簽帳金融卡,一般,,,,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,2026-05-30
國泰世華銀行,cathaybk,CUBE信用卡,一般,,,,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,2026-05-30
國泰世華銀行,cathaybk,CUBE卡,一般,,,,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,2026-05-30
國泰世華銀行,cathaybk,Icon/70x70/停發卡,一般,,,,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,2026-05-30
國泰世華銀行,cathaybk,世界卡,高階卡,,,,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,2026-05-30
國泰世華銀行,cathaybk,亞洲萬里通聯名卡,聯名卡,,,,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,2026-05-30
國泰世華銀行,cathaybk,台塑聯名卡,聯名卡,,,,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,2026-05-30
國泰世華銀行,cathaybk,商務卡,一般,,,,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,2026-05-30
國泰世華銀行,cathaybk,本卡已於2021年11月1日併入且更名為CUBE卡,一般,,,,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,2026-05-30
國泰世華銀行,cathaybk,本卡已於2022年1月1日併入且更名為CUBE卡,一般,,,,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,2026-05-30
國泰世華銀行,cathaybk,本卡已於2023年10月3日併入且更名為CUBE卡,一般,,,,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,2026-05-30
國泰世華銀行,cathaybk,現金回饋御璽卡,現金回饋/高階卡,,,,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,2026-05-30
國泰世華銀行,cathaybk,申請信用卡,一般,,,,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/cards/choose-card-s1/,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,2026-05-30
國泰世華銀行,cathaybk,立即辦卡,一般,,,,https://www.cathaybk.com.tw/cathaybk/onlineservice/CreditCard/CreditCardApply/cardgrade-s2.aspx?CardMain=4,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,2026-05-30
國泰世華銀行,cathaybk,蝦皮購物聯名卡,聯名卡,,,,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,2026-05-30
國泰世華銀行,cathaybk,長榮航空聯名卡,聯名卡,,,,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,2026-05-30
國泰世華銀行,cathaybk,雙幣卡,一般,,,,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,https://www.cathaybk.com.tw/cathaybk/personal/credit-card/,2026-05-30
星展銀行,dbs,星展HAPPY GO聯名卡,聯名卡,,,,https://www.dbs.com.tw/personal-zh/cards/dbs-happygo/index.html?pid=tw-pweb-personal-zh_cards_dbs-credit-cards_default_page-hyperlink,https://www.dbs.com.tw/personal-zh/cards/dbs-credit-cards/default.page,2026-05-30
