年,月-期底,機構類型名稱,機構名稱,流通卡數-張,有效卡數-張,本月發卡數-張,本月停卡數-張,循環信用餘額-新臺幣百萬元,本月簽帳金額-新臺幣百萬元,本月預借現金金額-新臺幣百萬元,逾期帳款比率-%,備抵呆帳提足率-%,本月轉銷呆帳金額-新臺幣百萬元,循環信用利息收入-新臺幣百萬元,簽帳手續費收入-新臺幣百萬元,預借現金手續費-新臺幣百萬元,收單特約商店家數-家
104,2,本國銀行,中國信託商業銀行#,5826421,3793427,49341,34009,14908,25210,479,0.16,725.39,54,174,316,33,67737
104,2,信用卡公司,台灣樂天信用卡股份有限公司,2493,1295,1607,1,0,24,0,0.0,0.0,0,0,1,0,0
104,2,信用卡公司,台灣美國運通國際(股)公司,162219,89755,2210,1923,331,3296,0,0.08,677.1,2,3,60,0,80949
104,2,信用卡公司,台灣永旺信用卡(股)公司,107848,74068,243,1693,330,188,3,1.57,782.86,3,5,3,0,377
104,2,信用卡公司,香港商台灣環滙亞太信用卡,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,10036
104,2,信用卡公司,財團法人聯合信用卡處理中心,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,91546
104,3,本國銀行,臺灣銀行#,225717,113058,768,1033,236,672,1,0.38,448.89,3,3,10,0,1107
104,3,本國銀行,臺灣土地銀行,123745,54426,877,893,197,349,1,0.27,2047.43,1,2,5,0,3617
104,3,本國銀行,合作金庫商業銀行#,391199,234614,3465,8593,557,2132,4,0.37,327.79,4,5,27,0,28461
104,3,本國銀行,第一商業銀行#,832361,566599,17151,8621,1290,3782,14,0.2,1720.5,6,17,55,0,968
104,3,本國銀行,華南商業銀行#,753080,526403,15778,10113,642,3334,1,0.05,1789.3,7,9,57,0,5482
104,3,本國銀行,彰化商業銀行,399521,202674,7999,3291,258,1073,1,0.24,704.06,1,4,14,0,283
104,3,本國銀行,上海商業儲蓄銀行,383187,196030,1464,4969,754,1253,7,0.85,1462.76,0,11,20,0,249
104,3,本國銀行,台北富邦銀行#,2382773,1614846,23781,22824,6670,13876,87,0.21,718.46,23,95,197,3,512
104,3,本國銀行,國泰世華商業銀行#,4876939,3403593,77705,31680,13637,28878,188,0.12,2218.74,24,171,285,4,9416
104,3,本國銀行,高雄銀行,9068,4262,42,51,6,134,0,0.28,433.82,0,0,0,0,1102
104,3,本國銀行,兆豐國際商業銀行#,576756,388372,10074,4557,1252,2473,6,0.13,964.14,4,19,38,0,62
104,3,本國銀行,花旗(台灣)商業銀行,2926715,2505394,19947,33114,16482,19690,173,0.52,720.93,104,219,251,5,38221
104,3,本國銀行,澳盛(台灣)商業銀行,638413,380658,6089,5032,3410,3472,18,0.36,415.72,10,50,27,1,963
104,3,本國銀行,臺灣中小企業銀行,336218,133248,1557,1677,560,884,6,0.2,634.7,3,8,9,0,5
104,3,本國銀行,渣打國際商業銀行,422775,275080,6690,5473,2227,1610,9,0.5,466.2,16,28,24,0,0
104,3,本國銀行,台中商業銀行,158569,59825,2100,773,215,375,0,1.46,631.76,6,4,6,0,567
104,3,本國銀行,滙豐(台灣)商業銀行,623742,443146,9832,6927,3066,4256,54,0.28,2140.26,14,44,57,1,6
104,3,本國銀行,華泰商業銀行,10382,6763,13,82,19,57,0,0.43,205.16,1,0,1,0,0
104,3,本國銀行,臺灣新光商業銀行#,895162,452912,12008,5735,2198,4084,26,0.15,225.45,6,26,72,0,2109
104,3,本國銀行,陽信商業銀行,67831,37814,1546,619,275,246,0,0.35,1059.81,4,4,3,0,44
104,3,本國銀行,三信商業銀行,16702,11241,304,72,33,106,0,0.14,5726.42,0,0,1,0,0
104,3,本國銀行,聯邦商業銀行,1756151,785839,15158,31818,4967,4953,161,0.3,126.59,17,46,77,1,3430
104,3,本國銀行,遠東國際商業銀行,1487942,1018102,14178,8739,5228,4588,203,0.31,100.6,16,81,44,1,31
104,3,本國銀行,元大商業銀行#,332323,165049,10855,2248,435,1852,1,0.23,1033.17,3,4,32,0,84
104,3,本國銀行,永豐商業銀行#,2188742,1317448,23367,15525,4899,7563,113,0.3,1314.88,12,67,98,2,4264
104,3,本國銀行,玉山商業銀行#,3747352,2585672,43246,21083,10433,17731,92,0.24,2507.89,37,167,264,4,14476
104,3,本國銀行,凱基商業銀行#,499423,195081,5736,4402,1283,836,10,1.38,187.38,6,17,5,0,3496
104,3,本國銀行,星展(台灣)商業銀行,12559,6394,91,81,17,64,0,0.22,2968.57,1,0,1,0,0
104,3,本國銀行,台新國際商業銀行#,3556402,2420420,45084,19461,10343,14659,152,0.25,614.52,23,105,202,8,75319
104,3,本國銀行,大眾商業銀行,582656,297078,10509,19403,893,1791,77,0.0,460.66,8,21,31,1,457
104,3,本國銀行,日盛國際商業銀行#,191647,106882,639,1004,493,413,10,0.35,304.18,2,5,6,0,0
104,3,本國銀行,安泰商業銀行,204338,71207,1386,755,474,449,2,0.45,466.52,0,5,7,0,3042
104,3,本國銀行,中國信託商業銀行#,5824038,3795715,55567,48324,14441,26220,637,0.17,716.45,58,148,346,35,68250
104,3,信用卡公司,台灣樂天信用卡股份有限公司,5677,3610,3192,15,1,85,0,0.0,5155.28,0,0,2,0,0
104,3,信用卡公司,台灣美國運通國際(股)公司,162557,89401,3384,3046,320,3903,0,0.11,498.67,1,3,66,0,81289
104,3,信用卡公司,台灣永旺信用卡(股)公司,106288,65496,347,2010,318,185,2,1.85,704.0,2,4,3,0,375
104,3,信用卡公司,香港商台灣環滙亞太信用卡,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,10071
104,3,信用卡公司,財團法人聯合信用卡處理中心,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,92616
104,4,本國銀行,臺灣銀行#,226001,112318,817,909,231,633,1,0.24,592.1,2,2,11,0,1121
104,4,本國銀行,臺灣土地銀行,124095,54257,823,551,194,319,1,0.19,2319.62,1,2,5,0,3649
104,4,本國銀行,合作金庫商業銀行#,388546,233133,3970,7277,562,2034,5,0.47,311.64,0,6,27,0,28520
104,4,本國銀行,第一商業銀行#,841088,569934,13837,7764,1269,3777,13,0.17,1910.7,6,17,52,0,1091
104,4,本國銀行,華南商業銀行#,758129,531828,15873,8149,643,3381,1,0.11,1209.88,0,8,60,0,5529
104,4,本國銀行,彰化商業銀行,405510,203853,7725,2527,269,1098,1,0.21,774.02,2,4,15,0,284
104,4,本國銀行,上海商業儲蓄銀行,379260,194773,1343,5270,735,1137,6,0.51,2768.1,9,9,19,0,286
104,4,本國銀行,台北富邦銀行#,2371443,1612559,17335,28665,6679,12927,92,0.21,702.48,24,81,188,4,546
104,4,本國銀行,國泰世華商業銀行#,4917701,3435466,66839,26077,13761,27998,202,0.11,2272.44,23,179,292,4,9515
104,4,本國銀行,高雄銀行,9067,4129,41,49,6,136,0,0.09,844.41,0,0,0,0,1095
104,4,本國銀行,兆豐國際商業銀行#,581694,390067,8788,3850,1247,2453,7,0.15,907.83,2,17,40,0,61
104,4,本國銀行,花旗(台灣)商業銀行,2926548,2506372,18841,28179,16731,19468,170,0.5,732.55,58,213,253,5,38550
104,4,本國銀行,澳盛(台灣)商業銀行,639141,378811,5536,4835,3357,3358,17,0.35,418.73,13,45,31,1,965
104,4,本國銀行,臺灣中小企業銀行,336015,132449,1511,1715,553,888,4,0.18,627.63,3,8,10,0,5
